踉踉跄跄|liang4 liang4 qiang4 qiang4|1
技术要求|ji4 shu4 yao1 qiu2|1
不见舆薪|bu2 jian4 yu2 xin1|1
不当人子|bu4 dang1 ren2 zi3|1
假模假式|jia3 mu2 jia3 shi4|1
架肩击毂|jia4 jian1 ji1 gu1|1
变贪厉薄|bian3 tan1 li4 bo2|1
骥子龙文|ji4 zi3 long2 wen2|1
积铢累寸|ji1 zhu1 lei3 cun4|1
积岁累月|ji1 sui4 lei3 yue4|1
肌肉萎缩|ji1 rou4 wei3 suo1|1
材优干济|cai2 you1 gan4 ji3|1
冰解的破|bing1 jie3 di4 po4|1
奇偶校验|ji1 ou3 jiao4 yan4|1
屏气慑息|bing3 qi4 she4 xi1|1
急功好利|ji2 gong1 hao4 li4|1
积德累善|ji1 de2 lei3 shan4|1
豁然顿悟|huo4 ran2 dun4 wu4|1
积谗糜骨|ji1 chan2 mei2 gu3|1
波骇云属|bo1 hai4 yun2 zhu3|1
家无担石|jia1 wu2 dan4 shi2|1
横无忌惮|heng4 wu2 ji4 dan4|1
基本电荷|ji1 ben3 dian4 he4|1
画龙刻鹄|hua4 long2 ke4 hu2|1
晦盲否塞|hui4 mang2 pi3 se4|1
不露圭角|bu4 lu4 gui1 jiao3|1
魂不着体|hun2 bu4 zhuo2 ti3|1
不足为怪|bu4 zu2 wei2 guai4|1
货而不售|huo er bu shou|1
财务会计|cai2 wu4 kuai4 ji4|1
患难夫妻|huan4 nan4 fu1 qi1|1
华亭鹤唳|hua4 ting2 he4 li4|1
化害为利|hua4 hai4 wei2 li4|1
长安棋局|chang2 an1 qi2 ju2|1
测量记录|ce4 liang2 ji4 lu4|1
画荻和丸|hua4 di2 huo4 wan2|1
差三错四|cha1 san1 cuo4 si4|1
差之毫厘|cha1 zhi1 hao2 li2|1
鹄形菜色|hu2 xing2 cai4 se4|1
互为表里|hu4 wei2 biao3 li3|1
壶里乾坤|hu2 li3 qian2 kun1|1
互教互学|hu4 jiao1 hu4 xue2|1
基本要求|ji1 ben3 yao1 qiu2|1
薄技在身|bo2 ji4 zai4 shen1|1
哺糟啜醨|bu3 zao1 chuo4 li2|1
窝阔台汗|wo1 kuo4 tai2 han2|1
称心如意|chen4 xin1 ru2 yi4|1
以利累形|yi3 li4 lei3 xing2|1
稻荷寿司|dao4 he4 shou4 si1|1
一成不易|yi1 cheng2 bu4 yi4|1
积极反应|ji1 ji2 fan3 ying4|1
积累毒性|ji1 lei3 du2 xing4|1
义薄云天|yi4 bo2 yun2 tian1|1
仰事俯畜|yang3 shi4 fu3 xu4|1
眼饧耳热|yan3 xing2 er3 re4|1
一干人犯|yi1 gan1 ren2 fan4|1
立地成佛|li4 di4 cheng2 fo2|1
燕市悲歌|yan1 shi4 bei1 ge1|1
燕雀处屋|yan4 que4 chu3 wu1|1
岩栖穴处|yan2 qi1 xue2 chu3|1
笑口弥勒|xiao4 kou3 mi2 le4|1
积德累功|ji1 de2 lei3 gong1|1
言气卑弱|yan qi bei ruo|1
衣马轻肥|yi4 ma3 qing1 fei2|1
一发千钧|yi1 fa4 qian1 jun1|1
科罗恩病|ke1 luo2 en1 bing4|1
伯乐相马|bo2 le4 xiang4 ma3|1
几不欲生|ji1 bu4 yu4 sheng1|1
